 Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced,
0,0,0,0,0.33,0.12,0.27,0.22,0.22,0.25,0.03,1.12,0.18,0.24,0.06,0.21, 
0,0,0,0,0.06,0.24,0.2,0.19,0.19,0.23,0.6,0.44,0.22,0.26,0.05,0.21, 
0,0,0,0,0.39,0.16,0.15,0.22,0.21,0.12,0.21,0.36,0.24,0.16,0.12,0.21, 
0,0,0,0,0,0.24,0.28,0.15,0.16,0.09,0.29,0.15,0.2,0.08,0.03,0.14, 
1,1,1,0,0.92,0.11,0,0.41,0.39,0.63,0.17,3.36,0.31,0.47,0.58,0.8, 
1,0,0,0,0,0.22,0,0.14,0.14,0.08,0.23,0.22,0.17,0.11,0.22,0, 
1,0,0,0,0.05,0.22,0.33,0.15,0.17,0.09,0.01,0.5,0.18,0.14,0,0, 
1,0,0,0,0.03,0,0,0.15,0.14,0.08,0.16,0.27,0.2,0.14,0.15,0.2, 
1,0,0,0,0,0.44,0.67,0.15,0.15,0.13,0.42,0.29,0.15,0.15,0.05,0, 
0,0,0,0,0,0.29,0.23,0.2,0.19,0.25,1.9,0.74,0.19,0.23,0.81,0, 
0,0,0,0,0.33,0.29,0.23,0.22,0.24,0.18,0.32,1.54,0.22,0.23,0.07,1, 
0,0,0,0,0,0.29,0.28,0.19,0.17,0.16,0.69,1.02,0.21,0.23,0,0, 
0,0,0,0,0.33,0.14,0.15,0.18,0.2,0.18,0.05,1.84,0.21,0.1,0.01,0, 
0,0,0,0,0.33,0,0.1,0.21,0.2,0.22,1.12,0.63,0.17,0.21,0.12,0, 
1,1,1,0,0.83,0.07,0.25,0.31,0.36,0.47,0.63,0.27,0.16,0.35,0.63,0, 
1,0,0,0,0.04,0.3,0,0.18,0.17,0.07,0.05,0.08,0.21,0.11,0.08,0.2, 
1,0,0,0,0.04,0.13,0,0.17,0.16,0.18,0.24,0.11,0.17,0.19,0.25,0.4, 
1,0,0,0,0,0.3,0.5,0.18,0.16,0.16,0.03,0.27,0.2,0.22,0,0.4, 
1,0,0,0,0.08,0.2,0.25,0.16,0.16,0.12,0.05,0.18,0.26,0.14,0.05,0, 
0,0,0,0,0,0.29,0.08,0.19,0.17,0.19,0.05,1.41,0.16,0.18,0.01,0, 
0,0,0,0,0.25,0.14,0.08,0.19,0.2,0.22,1.19,0.54,0.22,0.2,0.4,0, 
0,0,0,0,0.25,0.14,0.42,0.2,0.17,0.24,1.38,0.52,0.25,0.23,0.06,0, 
0,0,0,0,0.5,0,0.17,0.21,0.23,0.2,0.55,1.03,0.16,0.25,0.02,0, 
0,0,0,0,0,0.43,0.25,0.21,0.22,0.15,0.73,0.48,0.22,0.14,0.52,0, 
1,1,0,0,0.85,0.05,0.2,0.4,0.35,0.6,0.14,1.85,0.3,0.51,0.41,0.67, 
1,0,0,0,0.05,0.17,0.27,0.15,0.16,0.12,0.26,0.13,0.12,0.14,0.4,0, 
1,0,0,0,0.02,0.37,0.07,0.17,0.18,0.11,0.24,0.13,0.16,0.16,0.03,0.33, 
1,0,0,0,0.02,0.22,0.2,0.14,0.15,0.09,0.18,0.11,0.24,0.12,0.09,0, 
1,0,0,0,0.05,0.2,0.27,0.14,0.15,0.08,0.18,0.07,0.18,0.07,0.07,0, 
0,0,0,0,0.29,0.1,0.15,0.19,0.21,0.19,0.82,0.22,0.18,0.19,0.18,0, 
0,0,0,0,0.5,0.13,0.29,0.24,0.23,0.22,0.93,0.28,0.24,0.21,0.05,0.5, 
0,0,0,0,0,0.23,0.09,0.18,0.18,0.19,0.51,0.52,0.14,0.26,0.05,0, 
0,0,0,0,0.14,0.26,0.16,0.19,0.2,0.22,0.97,0.22,0.16,0.17,0.64,0.5, 
0,0,0,0,0.07,0.29,0.31,0.19,0.19,0.19,0.46,0.58,0.28,0.17,0.07,0, 
1,0,1,0,0.71,0.04,0.25,0.31,0.32,0.56,0.73,0.13,0.15,0.41,0.44,1, 
1,0,0,0,0.07,0.19,0.08,0.16,0.18,0.12,0,0.18,0.2,0.15,0.01,0, 
1,0,0,0,0.05,0.35,0.17,0.18,0.17,0.06,0.04,0.06,0.22,0.1,0.35,0, 
1,0,0,0,0.07,0.19,0.17,0.17,0.16,0.13,0.13,0.08,0.22,0.17,0.17,0, 
1,0,0,0,0.1,0.23,0.33,0.17,0.17,0.12,0.1,0.09,0.21,0.17,0.03,0, 
0,0,0,0,0.09,0.22,0.2,0.18,0.18,0.12,0.1,0.48,0.19,0.14,0.49,0, 
0,0,0,0,0.18,0.28,0.24,0.19,0.18,0.25,1.03,0.23,0.17,0.18,0.06,0, 
0,0,0,0,0.18,0.22,0.17,0.2,0.2,0.17,0.58,0.27,0.26,0.21,0.08,0, 
0,0,0,0,0.36,0.11,0.17,0.21,0.23,0.25,1,0.25,0.19,0.18,0.36,0.67, 
0,0,0,0,0.18,0.17,0.22,0.21,0.21,0.21,0.2,0.82,0.19,0.29,0,0.33, 
1,1,1,0,0.37,0.12,0.19,0.27,0.36,0.42,0.27,0.84,0.26,0.35,0.31,0.18, 
1,0,0,0,0.17,0.13,0.38,0.18,0.17,0.13,0.03,0.33,0.22,0.17,0.12,0.18, 
1,0,0,0,0.11,0.3,0.09,0.17,0.15,0.05,0.01,0.12,0.24,0.08,0.24,0.15, 
1,0,0,0,0.13,0.2,0.16,0.18,0.16,0.23,0.53,0.08,0.12,0.23,0.15,0.28, 
1,0,0,0,0.22,0.26,0.19,0.2,0.17,0.17,0.16,0.26,0.16,0.17,0.19,0.21, 
0,0,0,0,0.32,0.11,0.22,0.22,0.19,0.24,1.26,0.33,0.18,0.25,0,0.2, 
0,0,0,0,0.35,0.14,0.21,0.23,0.25,0.29,1.17,0.35,0.21,0.25,0.42,0.2, 
0,0,0,0,0.16,0.22,0.11,0.2,0.18,0.16,0.05,1,0.22,0.21,0.15,0.47, 
0,0,0,0,0.13,0.3,0.21,0.19,0.2,0.18,0.67,0.5,0.17,0.16,0.01,0.13, 
0,0,0,0,0.03,0.24,0.25,0.16,0.17,0.13,0.25,0.21,0.23,0.12,0.41,0, 
0,0,0,0,0.36,0.22,0.1,0.21,0.22,0.27,0.04,0.72,0.15,0.21,0.13,0, 
0,0,0,0,0.09,0,0.2,0.16,0.17,0.16,0.32,0.15,0.24,0.16,0.32,0, 
0,0,0,0,0.18,0.11,0,0.21,0.21,0.23,0,0.66,0.16,0.26,0.02,0, 
0,0,0,0,0,0.44,0.3,0.2,0.15,0.12,0.14,0.19,0.25,0.13,0.05,1, 
0,0,0,0,0.36,0.22,0.4,0.22,0.24,0.23,0.5,0.15,0.19,0.23,0.48,0, 
1,0,0,0,0.2,0.33,0.09,0.2,0.22,0.19,1.26,0.61,0.23,0.18,0.33,0.5, 
1,0,0,0,0.3,0,0.27,0.22,0.22,0.22,1.56,0.65,0.21,0.25,0.22,0.5, 
1,0,0,0,0.1,0.11,0.18,0.19,0.18,0.19,1.17,0.7,0.23,0.18,0.06,0, 
1,0,0,0,0.3,0.22,0.27,0.21,0.22,0.27,0.05,2.61,0.19,0.25,0.09,0, 
1,0,0,0,0.1,0.33,0.18,0.18,0.16,0.13,0.72,0.52,0.14,0.14,0.29,0, 
1,0,0,0,0.89,0,0.14,0.35,0.36,0.52,0.6,0.14,0.29,0.45,0.48,0.5, 
1,0,0,0,0.04,0.12,0.23,0.15,0.14,0.1,0.09,0.05,0.15,0.12,0.12,0.5, 
1,0,0,0,0.04,0.41,0.18,0.17,0.19,0.17,0.19,0.06,0.25,0.14,0.03,0, 
1,0,0,0,0.04,0.12,0.23,0.15,0.14,0.14,0.09,0.1,0.15,0.15,0.36,0, 
1,0,0,0,0,0.35,0.23,0.17,0.17,0.07,0.04,0.07,0.16,0.14,0.02,0, 
0,0,0,0,0.29,0.17,0.22,0.22,0.24,0.23,0.11,1.57,0.18,0.25,0.59,0, 
0,0,0,0,0.14,0.24,0.26,0.2,0.2,0.23,0.08,1.55,0.16,0.23,0.18,0, 
0,0,0,0,0.24,0.14,0.11,0.19,0.18,0.19,0.89,0.49,0.2,0.15,0.01,0, 
0,0,0,0,0.14,0.31,0.19,0.19,0.18,0.14,0.74,0.29,0.22,0.13,0.19,0, 
0,0,0,0,0.19,0.14,0.22,0.19,0.2,0.2,0.85,0.59,0.23,0.23,0.04,0, 
1,0,0,0,0.37,0.28,0.11,0.26,0.28,0.28,0.43,0.44,0.2,0.18,0.49,0, 
1,0,0,0,0.18,0.21,0.11,0.19,0.19,0.16,0.32,0.19,0.25,0.16,0.27,0, 
1,0,0,0,0.18,0.18,0.33,0.18,0.19,0.15,0.05,0.43,0.2,0.19,0,0, 
1,0,0,0,0.27,0.12,0.07,0.23,0.21,0.32,0.02,1,0.13,0.39,0.04,0, 
1,0,0,0,0,0.21,0.37,0.14,0.13,0.09,0.19,0.08,0.22,0.09,0.2,0, 
0,0,0,0,0.2,0.12,0.27,0.19,0.2,0.17,0.82,0.2,0.2,0.16,0.1,0.4, 
0,0,0,0,0.24,0.24,0.14,0.22,0.21,0.25,1.25,0.28,0.24,0.22,0.23,0.2, 
0,0,0,0,0.08,0.18,0.2,0.17,0.16,0.11,0.43,0.27,0.18,0.14,0.04,0, 
0,0,0,0,0.16,0.18,0.18,0.19,0.2,0.22,0.55,0.8,0.24,0.21,0.05,0.2, 
0,0,0,0,0.32,0.27,0.2,0.23,0.23,0.25,0.59,0.79,0.15,0.27,0.58,0.2, 
1,1,1,0,0.93,0.07,0,0.38,0.39,0.67,0.6,1.93,0.35,0.46,0.6,0, 
1,0,0,0,0.05,0.79,0,0.21,0.21,0.06,0.05,0.18,0.17,0.09,0,0.5, 
1,0,0,0,0.02,0.03,1,0.14,0.13,0.12,0.29,0.18,0.13,0.18,0.14,0.5, 
1,0,0,0,0,0.03,0,0.13,0.14,0.09,0.06,0.18,0.18,0.13,0.19,0, 
1,0,0,0,0,0.07,0,0.13,0.13,0.06,0,0.24,0.16,0.13,0.08,0, 
0,0,0,0,1,0,0.25,0.2,0.18,0.23,0.05,2.45,0.17,0.2,0.1,0.57, 
0,0,0,0,0,0.33,0.14,0.2,0.18,0.26,0.05,2.82,0.17,0.25,0.12,0, 
0,0,0,0,0,0.33,0.16,0.22,0.24,0.23,1.51,0.99,0.21,0.29,0.07,0.14, 
0,0,0,0,0,0,0.3,0.2,0.2,0.15,1.15,0.5,0.27,0.13,0.68,0.29, 
0,0,0,0,0,0.33,0.14,0.18,0.2,0.13,0.04,1.45,0.19,0.13,0.02,0, 
0,0,0,0,0.23,0.14,0.34,0.21,0.21,0.24,0.33,0.12,0.19,0.25,0,0.2, 
0,0,0,0,0.1,0.16,0.26,0.19,0.2,0.18,0.25,0.09,0.19,0.17,0.03,0.2, 
0,0,0,0,0.23,0.16,0.2,0.22,0.2,0.32,0.27,0.11,0.2,0.27,0.54,0, 
0,0,0,0,0.37,0.23,0.11,0.21,0.22,0.12,0.01,0.22,0.21,0.17,0.15,0.4, 
0,0,0,0,0.07,0.3,0.09,0.17,0.19,0.13,0.14,0.12,0.21,0.14,0.28,0.2, 
1,0,0,0,0.5,0.09,0.21,0.25,0.27,0.38,2.23,0.37,0.13,0.27,0.17,0.33, 
1,0,0,0,0.15,0.18,0.21,0.17,0.18,0.08,0,0.58,0.2,0.13,0.25,0.33, 
1,0,0,0,0.06,0.26,0.15,0.18,0.19,0.13,0.62,0.31,0.24,0.12,0.3,0, 
1,0,0,0,0.12,0.15,0.36,0.2,0.18,0.19,0.3,1.03,0.18,0.27,0,0.33, 
1,0,0,0,0.18,0.32,0.06,0.2,0.19,0.22,1.1,0.4,0.24,0.21,0.28,0, 
1,0,1,0,0.86,0,0,0.36,0.39,0.62,0.73,0.18,0.12,0.49,0,0.5, 
1,0,0,0,0,0.38,0,0.15,0.15,0.09,0.09,0.05,0.26,0.09,0.43,0, 
1,0,0,0,0.1,0.23,0.29,0.18,0.14,0.12,0.07,0.1,0.15,0.16,0.08,0, 
1,0,0,0,0,0.15,0.43,0.15,0.14,0.09,0.07,0.05,0.26,0.13,0.3,0.5, 
1,0,0,0,0.03,0.23,0.29,0.16,0.17,0.08,0.03,0.08,0.22,0.13,0.19,0, 
0,0,0,0,0.17,0.18,0.14,0.21,0.21,0.2,0.82,0.62,0.17,0.26,0.22,0, 
0,0,0,0,0,0.27,0.21,0.18,0.19,0.11,0.28,0.51,0.2,0.15,0,0, 
0,0,0,0,0,0.18,0.24,0.18,0.17,0.13,0.47,0.48,0.2,0.18,0.04,0, 
0,0,0,0,0.5,0.18,0.17,0.22,0.21,0.28,0.62,1.4,0.25,0.17,0.11,1, 
0,0,0,0,0.33,0.18,0.24,0.22,0.22,0.27,1.48,0.42,0.18,0.23,0.63,0, 
1,0,0,0,0.74,0.13,0.07,0.37,0.37,0.57,0.61,0.86,0.25,0.47,0.87,0, 
1,0,0,0,0.11,0.23,0.27,0.17,0.2,0.14,0.01,0.37,0.19,0.17,0.07,1, 
1,0,0,0,0.09,0.23,0.07,0.17,0.16,0.16,0.18,0.23,0.19,0.2,0.06,0, 
1,0,0,0,0.03,0.13,0.47,0.13,0.14,0.04,0.04,0.06,0.2,0.06,0,0, 
1,0,0,0,0.03,0.29,0.13,0.15,0.14,0.09,0.16,0.07,0.18,0.1,0,0, 
0,0,0,0,0.4,0.13,0.16,0.24,0.25,0.32,1.06,1.47,0.18,0.3,0.09,0, 
0,0,0,0,0.13,0.21,0.24,0.18,0.19,0.2,1.2,0.42,0.19,0.17,0.05,0.25, 
0,0,0,0,0.2,0.25,0.19,0.21,0.2,0.2,0.05,1.3,0.21,0.28,0.02,0.25, 
0,0,0,0,0.07,0.29,0.27,0.2,0.2,0.15,0.75,0.43,0.18,0.14,0.31,0, 
0,0,0,0,0.2,0.13,0.14,0.17,0.17,0.13,0.45,0.56,0.24,0.1,0.53,0.5, 
0,0,0,0,0.13,0.15,0.5,0.21,0.23,0.29,0.23,0.58,0.22,0.26,0.26,0, 
0,0,0,0,0.22,0.25,0.1,0.2,0.19,0.15,0.11,0.31,0.24,0.17,0.28,0, 
0,0,0,0,0.2,0.2,0.3,0.2,0.19,0.27,0.64,0.1,0.13,0.24,0.06,0, 
0,0,0,0,0.3,0.22,0.05,0.21,0.19,0.14,0,0.4,0.18,0.15,0.24,1, 
0,0,0,0,0.15,0.18,0.05,0.18,0.21,0.15,0.02,0.39,0.22,0.17,0.16,0, 
1,0,0,0,0.1,0.07,0.2,0.18,0.2,0.24,0.91,0.25,0.16,0.29,0.07,0, 
1,0,0,0,0.13,0.37,0.13,0.21,0.22,0.14,0.45,0.23,0.18,0.16,0.04,0.67, 
1,0,0,0,0.18,0.12,0.2,0.2,0.21,0.19,0.64,0.29,0.2,0.2,0.11,0, 
1,0,0,0,0.18,0.22,0.3,0.2,0.18,0.29,1.28,0.12,0.2,0.21,0.11,0.33, 
1,0,0,0,0.43,0.23,0.17,0.21,0.19,0.14,0.24,0.45,0.26,0.15,0.66,0, 
1,0,0,0,0.92,0,0.05,0.41,0.34,0.61,0.12,1.78,0.24,0.47,0.32,0.5, 
1,0,0,0,0.02,0.32,0.32,0.15,0.18,0.07,0.13,0.08,0.14,0.13,0.05,0, 
1,0,0,0,0.03,0.2,0.16,0.14,0.15,0.09,0.19,0.1,0.22,0.11,0.07,0, 
1,0,0,0,0,0.29,0.19,0.15,0.17,0.11,0.27,0.08,0.2,0.15,0.54,0.25, 
1,0,0,0,0.03,0.2,0.27,0.15,0.17,0.12,0.29,0.08,0.2,0.14,0.02,0.25, 
0,0,0,0,0.15,0.17,0.27,0.19,0.18,0.17,2.15,6.98,0.19,0.19,0.07,0.33, 
0,0,0,0,0.12,0.11,0.18,0.2,0.18,0.26,0.28,13.24,0.16,0.26,0.03,0.33, 
0,0,0,0,0.26,0.22,0.23,0.22,0.23,0.26,0,13.5,0.24,0.25,0,0, 
0,0,0,0,0.32,0.24,0.15,0.21,0.22,0.16,1.24,7.32,0.21,0.16,0.76,0.33, 
0,0,0,0,0.15,0.26,0.17,0.18,0.2,0.15,0.27,6.29,0.21,0.13,0.14,0, 
1,0,0,0,0.86,0.08,0.3,0.37,0.37,0.58,0.36,1.06,0.34,0.46,0.07,0, 
1,0,0,0,0,0.23,0.15,0.14,0.14,0.06,0.07,0.08,0.18,0.09,0.05,0.2, 
1,0,0,0,0,0.19,0.05,0.16,0.16,0.11,0.1,0.17,0.13,0.18,0.77,0.4, 
1,0,0,0,0.08,0.27,0.25,0.17,0.15,0.12,0.21,0.07,0.2,0.11,0.12,0, 
1,0,0,0,0.06,0.23,0.25,0.16,0.18,0.14,0.25,0.09,0.15,0.16,0,0.4, 
0,0,0,0,0.29,0.15,0.08,0.2,0.22,0.12,0.08,0.78,0.2,0.14,0.32,0, 
0,0,0,0,0.29,0.19,0.14,0.23,0.24,0.36,1.85,0.79,0.14,0.31,0.53,0, 
0,0,0,0,0,0.27,0.31,0.18,0.19,0.13,0.56,0.39,0.21,0.16,0.02,0, 
0,0,0,0,0.29,0.23,0.19,0.22,0.2,0.2,0.96,0.54,0.26,0.19,0.13,0, 
0,0,0,0,0.12,0.15,0.28,0.17,0.15,0.2,0.01,1.46,0.19,0.2,0.01,1, 
1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0, 
1,0,1,0,0.31,0.19,0.25,0.24,0.27,0.31,0.17,1.18,0.25,0.3,0.23,0, 
1,1,0,1,0.23,0.22,0.25,0.2,0.15,0.21,0.34,0.58,0.25,0.21,0.58,0, 
1,0,0,1,0.11,0.35,0.29,0.2,0.23,0.1,0.08,0.37,0.17,0.12,0.11,0, 
1,0,0,1,0.35,0.24,0.21,0.27,0.35,0.38,0.41,1.26,0.33,0.38,0.08,0, 
0,0,0,0,0.31,0.27,0.18,0.23,0.25,0.24,1.31,2.91,0.23,0.24,0.25,0, 
0,0,0,0,0.16,0.23,0.26,0.2,0.23,0.24,1.69,2.54,0.27,0.26,0.41,0, 
0,0,0,0,0.04,0,0.05,0.11,0.02,0.01,0,0.1,0.02,0,0,0, 
0,0,0,0,0.33,0.27,0.25,0.25,0.29,0.32,0.04,4.27,0.28,0.28,0.32,0, 
0,0,0,0,0.16,0.23,0.26,0.2,0.2,0.19,0.36,2.99,0.2,0.21,0.02,0, 
1,1,0,0,0.84,0.15,0.08,0.4,0.4,0.61,0.82,0.15,0.18,0.48,0.83,0, 
1,0,0,0,0.07,0.27,0.33,0.16,0.17,0.08,0.06,0.06,0.23,0.12,0,0, 
1,0,0,0,0.04,0.19,0.17,0.16,0.16,0.13,0.03,0.18,0.15,0.18,0,0, 
1,0,0,0,0,0.25,0.08,0.14,0.13,0.11,0.07,0.1,0.22,0.13,0.11,0.17, 
1,0,0,0,0.04,0.15,0.33,0.14,0.13,0.07,0.02,0.09,0.21,0.09,0.05,0.83, 
0,0,0,0,0.27,0.23,0.15,0.22,0.2,0.27,1.1,0.86,0.19,0.21,0.74,0, 
0,0,0,0,0.09,0.19,0.18,0.18,0.18,0.09,0.28,0.53,0.18,0.14,0.01,0, 
0,0,0,0,0.18,0.23,0.34,0.19,0.2,0.16,1.05,0.39,0.27,0.18,0.03,0, 
0,0,0,0,0.09,0.15,0.19,0.17,0.18,0.16,0.08,1.31,0.22,0.13,0.19,0, 
0,0,0,0,0.36,0.19,0.13,0.24,0.24,0.32,0.07,2.75,0.14,0.34,0.02,0, 
1,1,0,0,0.95,0.07,0.17,0.41,0.38,0.69,0.56,6,0.4,0.45,0.93,0.43, 
1,0,0,0,0.02,0.17,0,0.16,0.16,0.13,0,1.2,0.12,0.18,0.01,0.14, 
1,0,0,0,0.02,0.28,0.17,0.14,0.17,0.06,0.06,0.53,0.2,0.11,0.01,0, 
1,0,0,0,0,0.31,0.33,0.16,0.15,0.06,0.14,0.42,0.13,0.15,0.03,0.43, 
1,0,0,0,0.02,0.17,0.33,0.13,0.14,0.06,0.23,0.37,0.15,0.11,0.01,0, 
0,0,0,0,0.17,0,0.07,0.17,0.18,0.17,0.04,1.07,0.14,0.12,0.11,0, 
0,0,0,0,0,0.29,0.16,0.19,0.19,0.24,0.34,1.22,0.21,0.25,0.23,0.2, 
0,0,0,0,0,0.29,0.33,0.19,0.21,0.2,0.82,0.53,0.24,0.23,0.16,0.2, 
